authors,likes,quotes,tags
"Jack Kerouac,",10862,"“[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!”","['freethinker', 'inspirational', 'mad']"
Dalai Lama XIV,10648,“Happiness is not something ready made. It comes from your own actions.”,"['happiness', 'inspirational']"
Mother Teresa,10560,“Peace begins with a smile..”,"['inspirational', 'peace', 'smile', 'smiling']"
"John Green,",10391,"“Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”",['inspirational']
Gustave Flaubert,10327,"“Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”","['books', 'inspirational', 'life', 'reading']"
Margaret Mead,10322,"“Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”","['activism', 'attributed-no-source', 'change', 'inspirational', 'life', 'philosophy', 'world']"
"Sam Levenson,",10140,"“For attractive lips, speak words of kindness.For lovely eyes, seek out the good in people.For a slim figure, share your food with the hungry.For beautiful hair, let a child run his fingers through it once a day.For poise, walk with the knowledge you’ll never walk alone....We leave you a tradition with a future.The tender loving care of human beings will never become obsolete.People even more than things have to be restored, renewed, revived, reclaimed and redeemed and redeemed and redeemed.Never throw out anybody.Remember, if you ever need a helping hand, you’ll find one at the end of your arm.As you grow older, you will discover that you have two hands: one for helping yourself, the other for helping others.Your “good old days” are still ahead of you, may you have many of them.”","['beauty', 'charity', 'inspirational', 'kindness', 'misattributed-audrey-hepburn']"
Ralph Waldo Emerson,10088,“What lies behind us and what lies before us are tiny matters compared to what lies within us.”,['inspirational']
"Christian D. Larson,",9671,"“Promise YourselfTo be so strong that nothingcan disturb your peace of mind.To talk health, happiness, and prosperityto every person you meet.To make all your friends feelthat there is something in themTo look at the sunny side of everythingand make your optimism come true.To think only the best, to work only for the best,and to expect only the best.To be just as enthusiastic about the success of othersas you are about your own.To forget the mistakes of the pastand press on to the greater achievements of the future.To wear a cheerful countenance at all timesand give every living creature you meet a smile.To give so much time to the improvement of yourselfthat you have no time to criticize others.To be too large for worry, too noble for anger, too strong for fear,and too happy to permit the presence of trouble.To think well of yourself and to proclaim this fact to the world,not in loud words but great deeds.To live in faith that the whole world is on your sideso long as you are true to the best that is in you.”","['happiness', 'inspirational', 'love', 'optimism', 'strength']"
"C.S. Lewis,",9658,"“Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”","['friendship', 'inspirational']"
