authors,likes,quotes,tags
George Lucas,887,"“Always remember, your focus determines your reality.”","['inspiration', 'star-wars']"
C. JoyBell C.,503,"“In case you never get a second chance: don't be afraid!"" ""And what if you do get a second chance?"" ""You take it!”","['belief', 'bravery', 'chance', 'chances', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspiring', 'life', 'living', 'second-chance', 'second-chances', 'taking-chances']"
Turcois Ominek,463,“Your time is way too valuable to be wasting on people that can't accept who you are.”,"['attitude-toward-life', 'believe-in-yourself', 'inspiration', 'inspirational', 'inspirational-quotes', 'letting-go', 'life', 'life-lessons', 'self-love', 'values', 'wasting-time']"
Helen Exley,455,“Books can be dangerous. The best ones should be labeled ‘This could change your life’.”,"['books', 'change', 'inspiration', 'life', 'reading', 'thought-provoking']"
"Thomas Jefferson,",451,"“4. Religion. Your reason is now mature enough to examine this object. In the first place, divest yourself of all bias in favor of novelty & singularity of opinion... shake off all the fears & servile prejudices, under which weak minds are servilely crouched. Fix reason firmly in her seat, and call to her tribunal every fact, every opinion. Question with boldness even the existence of a God; because, if there be one, he must more approve of the homage of reason, than that of blindfolded fear. You will naturally examine first, the religion of your own country. Read the Bible, then as you would read Livy or Tacitus. The facts which are within the ordinary course of nature, you will believe on the authority of the writer, as you do those of the same kind in Livy and Tacitus. The testimony of the writer weighs in their favor, in one scale, and their not being against the laws of nature, does not weigh against them. But those facts in the Bible which contradict the laws of nature, must be examined with more care, and under a variety of faces. Here you must recur to the pretensions of the writer to inspiration from God. Examine upon what evidence his pretensions are founded, and whether that evidence is so strong, as that its falsehood would be more improbable than a change in the laws of nature, in the case he relates. For example in the book of Joshua we are told the sun stood still several hours. Were we to read that fact in Livy or Tacitus we should class it with their showers of blood, speaking of statues, beasts, &c. But it is said that the writer of that book was inspired. Examine therefore candidly what evidence there is of his having been inspired. The pretension is entitled to your inquiry, because millions believe it. On the other hand you are astronomer enough to know how contrary it is to the law of nature that a body revolving on its axis as the earth does, should have stopped, should not by that sudden stoppage have prostrated animals, trees, buildings, and should after a certain time have resumed its revolution, & that without a second general prostration. Is this arrest of the earth's motion, or the evidence which affirms it, most within the law of probabilities? You will next read the New Testament. It is the history of a personage called Jesus. Keep in your eye the opposite pretensions: 1, of those who say he was begotten by God, born of a virgin, suspended & reversed the laws of nature at will, & ascended bodily into heaven; and 2, of those who say he was a man of illegitimate birth, of a benevolent heart, enthusiastic mind, who set out without pretensions to divinity, ended in believing them, and was punished capitally for sedition, by being gibbeted, according to the Roman law, which punished the first commission of that offence by whipping, & the second by exile, or death in fureâ....Do not be frightened from this inquiry by any fear of its consequences. If it ends in a belief that there is no God, you will find incitements to virtue in the comfort and pleasantness you feel in its exercise, and the love of others which it will procure you... In fine, I repeat, you must lay aside all prejudice on both sides, and neither believe nor reject anything, because any other persons, or description of persons, have rejected or believed it... I forgot to observe, when speaking of the New Testament, that you should read all the histories of Christ, as well of those whom a council of ecclesiastics have decided for us, to be Pseudo-evangelists, as those they named Evangelists. Because these Pseudo-evangelists pretended to inspiration, as much as the others, and you are to judge their pretensions by your own reason, and not by the reason of those ecclesiastics. Most of these are lost...[Letter to his nephew, Peter Carr, advising him in matters of religion, 1787]”","['astronomy-nerd', 'book-of-joshua', 'contradiction', 'critical-examination', 'divine-inspiration', 'evidence', 'examine', 'inquiry', 'inspiration', 'joshua', 'livy', 'new-testament', 'probability', 'science', 'supernatural', 'tacitus', 'testimony']"
Robert Collier,426,"“Visualize this thing you want. See it, feel it, believe in it. Make your mental blueprint and begin.”",['inspiration']
Roy T. Bennett,401,“Consistency is the true foundation of trust. Either keep your promises or do not make them.”,"['consistency', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-your-promises', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'trust']"
"Roy T. Bennett,",392,"“Dream your own dreams, achieve your own goals. Your journey is your own and unique.”","['dream', 'dreams', 'goals', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"C.G. Jung,",382,“How can I be substantial if I do not cast a shadow? I must have a dark side also If I am to be whole.”,"['darkness', 'inspiration', 'life', 'psychology', 'shadow', 'whole', 'wholeness', 'wisdom']"
"Jennifer Elisabeth,",381,“Don’t worry if people think you’re crazy. You are crazy. You have that kind of intoxicating insanity that lets other people dream outside of the lines and become who they’re destined to be.”,"['anxiety', 'art', 'beach', 'born-ready', 'cape-cod', 'coming-of-age', 'constellations', 'crazy', 'depression', 'destiny', 'fate', 'friends', 'girls', 'growing', 'growing-up', 'hope', 'insanity', 'inspiration', 'jennifer-elisabeth', 'learning', 'life', 'love', 'lovers', 'ocean', 'pray', 'prayer', 'red-thread', 'red-thread-of-destiny', 'red-thread-of-fate', 'self-acceptance', 'self-love', 'self-reflection', 'soul', 'soul-mates', 'stars', 'teenagers', 'teens', 'time', 'universe', 'wish']"
John Mayer,373,"“If you had started doing anything two weeks ago, by today you would have been two weeks better at it.”","['commitment', 'dedication', 'imagination', 'inspiration']"
Roy T. Bennett,360,“Be with someone who inspires you and makes you be the best version of yourself.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'relationship']"
"Roy T. Bennett,",354,"“You were not born on earth to please anyone; you have to live life to express yourself, not to impress someone. Don't pretend to be someone you're not, and never lose yourself in search of other people's acceptance and approval.”","['authentic-living', 'be-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quote', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-philosophy', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Amit Kalantri,",349,"“I cannot compromise my respect for your love. You can keep your love, I will keep my respect.”","['breaking-up', 'breakup', 'breakups', 'compromise', 'human', 'humans', 'inspiration', 'inspirational', 'inspirational-quotes', 'love', 'motivation', 'motivational', 'motivational-quotes', 'philosophy', 'respect', 'respectable', 'respected', 'respectful', 'respecting', 'respecting-others', 'respecting-yourself', 'self-respect', 'wisdom', 'wisdom-quotes']"
"Roy T. Bennett,",343,“No one has ever achieved greatness without dreams.”,"['dream', 'dreams', 'greatness', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Rob Bell,",335,“What we do comes out of who we believe we are.”,"['actions', 'inspiration', 'thoughts']"
"Maya Angelou,",334,"“Whining is not only graceless, but can be dangerous. It can alert a brute that a victim is in the neighborhood.”",['inspiration']
"Roy T. Bennett,",329,“Failures are the stairs we climb to reach success.”,"['failure', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']"
Eric Berne,327,"“The moment a little boy is concerned with which is a jay and which is a sparrow, he can no longer see the birds or hear them sing.”","['birds', 'discrimination', 'equality', 'inspiration', 'life', 'loss-of-wonder', 'wisdom']"
Roy T. Bennett,326,“You can have everything you want if you can put your heart and soul into everything you do.”,"['doing', 'energy', 'heart', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'soul']"
"Roy T. Bennett,",324,"“Difficulties and adversities viciously force all their might on us and cause us to fall apart, but they are necessary elements of individual growth and reveal our true potential. We have got to endure and overcome them, and move forward. Never lose hope. Storms make people stronger and never last forever.”","['adversity', 'challenge', 'growth', 'hope', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'never-lose-hope', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'potential']"
"Roy T. Bennett,",324,“How much you can learn when you fail determines how far you will go into achieving your goals.”,"['failure', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'success']"
"Roy T. Bennett,",324,“Push your boundaries beyond the ordinary; be that “extra” in “extraordinary.”,"['growth', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'progress']"
"Roy T. Bennett,",322,“Create a vision for the life you really want and then work relentlessly towards making it a reality.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'vision']"
"Roy T. Bennett,",321,"“Every choice comes with a consequence. Once you make a choice, you must accept responsibility. You cannot escape the consequences of your choices, whether you like them or not.”","['choices', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Richelle Mead,",320,“You're better than this. Better than whatever it is you're going to do now.”,"['better', 'inspiration', 'last-sacrifice']"
"Roy T. Bennett,",317,"“Change course, but don’t give up.”","['change', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'leadership', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'never-give-up', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Roy T. Bennett,",296,"“Be where you are, stop over-thinking, and focus on what you are doing.”","['focus-on', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'over-thinking', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Roy T. Bennett,",296,“Do not let your negative thoughts have power over you because those thoughts will end up controlling your life. No one can live a positive life with a negative mind.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Roy T. Bennett,",283,“There is no more profitable investment than investing in yourself. It is the best investment you can make; you can never go wrong with it. It is the true way to improve yourself to be the best version of you and lets you be able to best serve those around you.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'invest-in-yourself', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Andy Rooney,851,"“Everyone wants to live on top of the mountain, but all the happiness and growth occurs while you're climbing it.”","['growth', 'happiness', 'inspiration']"
Henry Miller,456,"“Serenity is when you get above all this, when it doesn't matter what they think, say or want, but when you do as you are, and see God and Devil as one.”",['inspiration']
Jessica Howell,407,"“Sometimes good things fall apart, so better things can fall together.”","['hope', 'inspiration', 'love']"
Bill Hicks,368,"“We all pay for life with death, so everything in between should be free.”","['humor', 'inspiration']"
Pearl S. Buck,353,“The person who tries to live alone will not succeed as a human being. His heart withers if it does not answer another heart. His mind shrinks away if he hears only the echoes of his own thoughts and finds no other inspiration. ”,"['alone', 'heart', 'inspiration']"
Hunter S. Thompson,344,"“For every moment of triumph, for every instance of beauty, many souls must be trampled.”",['inspiration']
E. Joseph Cossman,335,“Obstacles are things a person sees when he takes his eyes off his goal.”,"['goals', 'inspiration']"
"Aberjhani,",324,“A bridge of silver wings stretches from the dead ashes of an unforgiving nightmareto the jeweled vision of a life started anew.”,"['angel-poetry', 'bridges', 'faith', 'famous-quotes', 'famous-quotes-from-classic-books', 'healing', 'inspiration', 'inspiring-quotes', 'metaphysics', 'new-beginnings', 'new-year', 'perseverance', 'philosophy', 'poem-in-your-pocket-day', 'quotes-by-aberjhani', 're-birth', 'rebirth', 'recovery', 'resurrection', 'spirituality', 'starting-over', 'visions', 'world-suicide-prevention-day']"
Ralph Waldo Emerson,321,"“Sorrow looks back, Worry looks around, Faith looks up”","['faith', 'inspiration', 'life', 'sorrow', 'wisdom', 'worry']"
Roy T. Bennett,318,"“When you lose your smile, you lose your way in the chaos of life.”","['chaos-of-life', 'happiness', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'smile', 'smiles']"
"Roy T. Bennett,",317,"“No matter how much experience you have, there’s always something new you can learn and room for improvement.”","['experience', 'improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'learning', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Roy T. Bennett,",317,"“Be an Encourager: When you encourage others, you boost their self-esteem, enhance their self-confidence, make them work harder, lift their spirits and make them successful in their endeavors. Encouragement goes straight to the heart and is always available. Be an encourager. Always.”","['encourage', 'encouragement', 'heart', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-confidence', 'self-esteem', 'success']"
Gregory Colbert,316,"“The whales do not sing because they have an answer, they sing because they have a song.”",['inspiration']
"Philip Pullman,",316,“I have stolen ideas from every book I have ever read.”,"['inspiration', 'on-writing', 'storytelling']"
"Isabel Allende,",315,"“Fear is inevitable, I have to accept that, but I cannot allow it to paralyze me.”","['fear', 'inspiration']"
Albert Camus,313,"“A man's work is nothing but this slow trek to rediscover, through the detours of art, those two or three great and simple images in whose presence his heart first opened.”","['art', 'inspiration', 'life']"
Toni Morrison,312,“What difference do it make if the thing you scared of is real or not?”,"['fear', 'inspiration']"
"Sherman Alexie,",310,"“Do you understand how amazing it is to hear that from an adult? Do you know how amazing it is to hear that from anybody? It's one of the simplest sentences in the world, just four words, but they're the four hugest words in the world when they're put together.You can do it.I can do it.Let's do it.”","['ability', 'capability', 'inspiration', 'you-can-do-it']"
"Eudora Welty,",297,"“It had been startling and disappointing to me to find out that story books had been written by people, that books were not natural wonders, coming up of themselves like grass. Yet regardless of where they come from, I cannot remember a time when I was not in love with them -- with the books themselves, cover and binding and the paper they were printed on, with their smell and their weight and with their possession in my arms, captured and carried off to myself. Still illiterate, I was ready for them, committed to all the reading I could give them ...”","['books', 'creativity', 'inspiration', 'literature', 'reading', 'storytelling', 'writing']"
Roy T. Bennett,296,"“If you care about something enough, you'll find a way to make it happen.”","['care-enough', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'make-things-happen', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Alan Bennett,",292,“A book is a device to ignite the imagination.”,"['books', 'imagination', 'inspiration']"
"Roy T. Bennett,",286,“Let go of something old that no longer serves you to make room for something new.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'letting-go', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Chuck Close,281,"“The advice I like to give young artists, or really anybody who'll listen to me, is not to wait around for inspiration. Inspiration is for amateurs; the rest of us just show up and get to work. If you wait around for the clouds to part and a bolt of lightning to strike you in the brain, you are not going to make an awful lot of work. All the best ideas come out of the process; they come out of the work itself. Things occur to you. If you're sitting around trying to dream up a great art idea, you can sit there a long time before anything happens. But if you just get to work, something will occur to you and something else will occur to you and something else that you reject will push you in another direction. Inspiration is absolutely unnecessary and somehow deceptive. You feel like you need this great idea before you can get down to work, and I find that's almost never the case.”","['artist', 'dream', 'inspiration', 'process', 'work', 'work-ethic']"
"Madeleine L'Engle,",275,"“Inspiration usually comes during work, rather than before it.”","['inspiration', 'work']"
"Roy T. Bennett,",267,“To overcome fear is the quickest way to gain your self-confidence.”,"['fear', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'self-confidence']"
Christopher McCandless,263,"“The very basic core of a man's living spirit is his passion for adventure. The joy of life comes from our encounters with new experiences, and hence there is no greater joy than to have an endlessly changing horizon, for each day to have a new and different sun.”","['adventure', 'horizons', 'inspiration', 'life', 'motivation', 'travel']"
Christopher Reeve,259,"“So many of our dreams at first seem impossible, then they seem improbable, and then, when we summon the will, they soon become inevitable.”","['christopher-reeve', 'dreams', 'inspiration']"
"Roy T. Bennett,",242,"“Instead of worrying about what could go wrong, change your thoughts to what could go right. When you change the negative thought into a positive one, it eliminates the negative one.”","['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Roy T. Bennett,",233,“Your Life Is Happening Right Now: Don't let procrastination take over your life. Be brave and take risks. Your life is happening right now.”,"['brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'procrastination', 'take-risks']"
"Roy T. Bennett,",229,“Be careful the stories you're telling yourself about your current circumstances; a head full of negative thoughts has no space for positive ones.”,"['inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'negative', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
Ralph Waldo Emerson,431,"“Few people know how to take a walk. The qualifications are endurance, plain clothes, old shoes, an eye for nature, good humor, vast curiosity, good speech, good silence and nothing too much.”",['inspiration']
Hunter S. Thompson,415,“America...just a nation of two hundred million used car salesmen with all the money we need to buy guns and no qualms about killing anybody else in the world who tries to make us uncomfortable”,['inspiration']
C. JoyBell C.,346,"“I don't know why people are afraid of lust. Then I can imagine that they are very afraid of me, for I have a great lust for everything. A lust for life, a lust for how the summer-heated street feels beneath my feet, a lust for the touch of another's skin on my skin...a lust for everything. I even lust after cake. Yes, I am very lusty and very scary.”","['human-nature', 'humanism', 'humor', 'humor-fear', 'inspiration', 'inspirational', 'inspirational-life', 'inspirational-quotes', 'inspiring', 'life', 'life-and-living', 'living', 'loving-life', 'lust', 'lust-for-life', 'lustful', 'lusty', 'passion', 'passion-for-life', 'passion-for-living', 'passionate-living', 'passions']"
"Octavia Butler,",335,“First forget inspiration. Habit is more dependable. Habit will sustain you whether you're inspired or not. Habit will help you finish and polish your stories. Inspiration won't. Habit is persistence in practice.”,"['creative-process', 'habit', 'inspiration', 'persistence', 'writing']"
Charlotte Eriksson,331,"“So I am not a broken heart. I am not the weight I lost or miles or ran and I am not the way I slept on my doorstep under the bare sky in smell of tears and whiskey because my apartment was empty and if I were to be this empty I wanted something solid to sleep on. Like concrete. I am not this year and I am not your fault.I am muscles building cells, a little every day, because they broke that day,but bones are stronger once they heal and I am smiling to the bus driver and replacing my groceries once a week and I am not sitting for hours in the shower anymore. I am the way a life unfolds and bloom and seasons come and go and I am the way the spring always finds a way to turn even the coldest winter into a field of green and flowers and new life. I am not your fault.”","['apartment', 'bones', 'break-up', 'broken', 'cold', 'day', 'drinking', 'drunk', 'empty', 'every-day', 'flowers', 'green', 'growing', 'healing', 'health', 'heart', 'hours', 'inspiration', 'inspiring', 'life', 'losing', 'lost', 'love', 'miles', 'new-beginning', 'new-day', 'new-life', 'new-start', 'night', 'night-sky', 'return', 'running', 'sad', 'seasons', 'shower', 'sky', 'spring', 'strong', 'stronger', 'tears', 'the-glass-child', 'this-year', 'tumblr-writer', 'unfolds', 'week', 'weight', 'whisky', 'winter', 'youth']"
Richard Bandler,324,"“The greatest personal limitation is to be found not in the things you want to do and can't, but in the things you've never considered doing.”",['inspiration']
Langston Hughes,295,"“I stay cool, and dig all jive,That's the way I stay alive.My motto, as I live and learn, isDig and be dugIn return.”",['inspiration']
"James Redfield,",286,"“We must assume every event has significance and contains a message that pertains to our questions...this especially applies to what we used to call bad things...the challenge is to find the silver lining in every event, no matter how negative.”","['inspiration', 'optimism']"
"Dr Roopleen,",269,“Don’t let mental blocks control you. Set yourself free. Confront your fear and turn the mental blocks into building blocks.”,"['attitude', 'authors', 'books', 'coaching', 'competition', 'connect', 'counseling', 'courage', 'dare', 'daring', 'determination', 'dreams', 'failure', 'faith', 'famous', 'goals', 'hope', 'idea', 'inspiration', 'inspire', 'judge', 'leadership', 'life', 'love', 'motivation', 'motivator', 'never-give-up', 'passion', 'patience', 'peace', 'positive-thinking', 'promo', 'publishing', 'quotes', 'self-confidence', 'self-esteem', 'speaking', 'success', 'successful', 'triumph', 'trust', 'victory', 'willpower', 'wisdom', 'words', 'world', 'you-can-do-it']"
"Richard Bach,",262,"“If you will practice being fictional for a while, you will understand that fictional characters are sometimes more real than people with bodies and heartbeats.”","['fiction', 'inspiration', 'on-fiction', 'values']"
Oscar Wilde,261,“If you want to be a doormat you have to lay yourself down first.”,"['inspiration', 'life-lessons']"
"Dan Simmons,",260,"“To see and feel one's beloved naked for the first time is one of life's pure, irreducible epiphanies. If there is a true religion in the universe, it must include that truth of contact or be forever hollow. To make love to the one true person who deserves that love is one of the few absolute rewards of being a human being, balancing all of the pain, loss, awkwardness, loneliness, idiocy, compromise, and clumsiness that go with the human condition. To make love to the right person makes up for a lot of mistakes.”","['beauty', 'connection', 'happiness', 'inspiration', 'love', 'religion', 'sex']"
"Ramon Bautista,",253,“There's more to life than love.”,"['inspiration', 'life', 'moving-on', 'tagalog']"
C. JoyBell C.,249,"“There are two things we should always be 1. raw and 2. ready. When you are raw, you are always ready and when you are ready you usually realize that you are raw. Waiting for perfection is not an answer, one cannot say ""I will be ready when I am perfect"" because then you will never be ready, rather one must say ""I am raw and I am ready just like this right now, how and who I am.”","['bravery', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'life', 'life-and-living', 'living', 'living-life', 'perfection', 'raw', 'rawness', 'readiness', 'ready']"
Pema Chodron,236,"“We habitually erect a barrier called blame that keeps us from communicating genuinely with others, and we fortify it with our concepts of who's right and who's wrong. We do that with the people who are closest to us and we do it with political systems, with all kinds of things that we don't like about our associates or our society. It is a very common, ancient, well-perfected device for trying to feel better. Blame others....Blaming is a way to protect your heart, trying to protect what is soft and open and tender in yourself. Rather than own that pain, we scramble to find some comfortable ground.”","['blame', 'compassion', 'inspiration']"
Roy T. Bennett,236,“You make the world a better place by making daily improvements to become the best version of yourself.”,"['improvement', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']"
"Frederick Buechner,",231,"“Turn around and believe that the good news that we are loved is better than we ever dared hope, and that to believe in that good news, to live out of it and toward it, to be in love with that good news, is of all glad things in this world the gladdest thing of all. Amen, and come Lord Jesus.”","['hope', 'inspiration', 'jesus']"
Audrey Hepburn,228,"“My life isn’t theories and formulae. It’s part instinct, part common sense. Logic is as good a word as any, and I’ve absorbed what logic I have from everything and everyone… from my mother, from training as a ballet dancer, from Vogue magazine, from the laws of life and health and nature.”","['audrey-hepburn', 'inspiration', 'life']"
"Richelle E. Goodrich,",228,"“You may be the only person left who believes in you, but it's enough. It takes just one star to pierce a universe of darkness. Never give up.”","['believe', 'believe-in-yourself', 'determination', 'give-up', 'goals', 'inspiration', 'inspirational-quotes', 'never-give-up', 'persist', 'richelle', 'richelle-goodrich', 'self-esteem', 'self-motivation', 'star', 'success', 'try-again']"
"Sylvester Stallone,",224,"“Let me tell you something you already know. The world ain't all sunshine and rainbows. It's a very mean and nasty place, and I don't care how tough you are, it will beat you to your knees and keep you there permanently if you let it. You, me, or nobody is gonna hit as hard as life. But it ain't about how hard you hit. It's about how hard you can get hit and keep moving forward; how much you can take and keep moving forward. That's how winning is done! Now, if you know what you're worth, then go out and get what you're worth. But you gotta be willing to take the hits, and not pointing fingers saying you ain't where you wanna be because of him, or her, or anybody. Cowards do that and that ain't you. You're better than that! I'm always gonna love you, no matter what. No matter what happens. You're my son and you're my blood. You're the best thing in my life. But until you start believing in yourself, you ain't gonna have a life.”","['inspiration', 'rocky-balboa', 'sylvester-stallone']"
"Roy T. Bennett,",224,“What helps you persevere is your resilience and commitment.”,"['commitment', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'perseverance', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'resilience']"
"Roy T. Bennett,",224,“There are some values that you should never compromise on to stay true to yourself; you should be brave to stand up for what you truly believe in even if you stand alone.”,"['be-yourself', 'believe-in', 'core-values', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'value']"
